model_name,regime,severity,N,MAE_M,MAE_logM,pearson_r,std_M,std_logM,frac_relerr_gt_50pct,MAE_omega_Q,MAE_Gamma_Q,fit_success_rate,arch,seed
spectral_transformer_5b_seed44,in_dist,1.0,1000,0.48894726057210935,0.4273855983336381,0.4795698223599001,2.8636282409569818,1.6136071001850538,0.306,0.37903389644622804,0.650757784679532,,5b,44
spectral_transformer_5b_seed44,overdamped,1.0,611,0.07263266293441728,0.4291378418201093,0.8066483626057841,0.18633474457925084,1.1317491216595899,0.3158756137479542,0.3229682422113497,0.7200281452235145,,5b,44
spectral_transformer_5b_seed44,holdout_T,1.0,300,0.47380775481966947,1.9865554037658588,0.9365371822729112,0.6407735865019349,1.3059738828673209,0.8933333333333333,1.6292746734619141,3.6117492855588593,,5b,44
spectral_transformer_5b_seed44,holdout_c,1.0,300,0.2970371354961147,0.3916042127287348,0.8086120013978211,0.9696517058937146,1.3507441067218395,0.26,0.34223038037618003,0.5972363055745761,,5b,44
spectral_transformer_5b_seed44,holdout_E,1.0,300,0.37444921378822377,0.46458229613709157,0.7182453869606118,2.5974377360745677,1.6555402229008422,0.31333333333333335,0.45692084074020384,0.8016957541555166,,5b,44
spectral_transformer_5b_seed44,stress,0.25,500,0.37105945656914263,0.2732227292502588,0.5276637779931106,2.4450096356534723,1.6377638418979772,0.132,0.2856815004348755,0.4085159883350134,,5b,44
spectral_transformer_5b_seed44,stress,0.5,500,0.40702358369808644,0.3283884161549466,0.5090496613706781,2.4450096356534723,1.6377638418979772,0.184,0.3353340106010437,0.5065951421409846,,5b,44
spectral_transformer_5b_seed44,stress,1.0,500,0.45496751890797166,0.41668919931817017,0.4398620792477923,2.4450096356534723,1.6377638418979772,0.254,0.39305093955993653,0.6222306849509478,,5b,44
spectral_transformer_5b_seed44,stress,2.0,500,0.5552597062466667,0.6149259975852223,0.3666130012516355,2.4450096356534723,1.6377638418979772,0.448,0.515244441986084,0.9218018288761377,,5b,44
spectral_transformer_5b_seed44,stress,4.0,500,0.7502523683002219,0.9868061751851147,0.20702832096411383,2.4450096356534723,1.6377638418979772,0.624,0.8140480771064759,1.4661372781544924,,5b,44
